x,y,SNOW_ON_GROUND,MIN_TEMPERATURE,MAX_TEMPERATURE,SPEED_MAX_GUST_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,HEATING_DEGREE_DAYS,TOTAL_SNOW_FLAG,TOTAL_PRECIPITATION,MAX_REL_HUMIDITY_FLAG,STATION_NAME,LOCAL_DATE,PROVINCE_CODE,DIRECTION_MAX_GUST,MIN_REL_HUMIDITY,MEAN_TEMPERATURE_FLAG,ID,CLIMATE_IDENTIFIER,COOLING_DEGREE_DAYS,SNOW_ON_GROUND_FLAG,MIN_TEMPERATURE_FLAG,MEAN_TEMPERATURE,LOCAL_YEAR,SPEED_MAX_GUST,MAX_REL_HUMIDITY,DIRECTION_MAX_GUST_FLAG,MAX_TEMPERATURE_FLAG,LOCAL_MONTH,HEATING_DEGREE_DAYS_FLAG,LOCAL_DAY,COOLING_DEGREE_DAYS_FLAG,TOTAL_PRECIPITATION_FLAG,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW
-72.45,48.88333333333333,,-20.6,-17.2,,0,,36.9,,1.3,,ALBANEL,1940-12-17 00:00:00,QC,,,,7060080.1940.12.17,7060080,0,,,-18.9,1940,,,,,12,,17,,,,1.3
-72.45,48.88333333333333,,-22.2,-5,,0,,31.6,,0,,ALBANEL,1940-12-18 00:00:00,QC,,,,7060080.1940.12.18,7060080,0,,,-13.6,1940,,,,,12,,18,,,,0
-72.45,48.88333333333333,,-20.6,-14.4,,0,,35.5,,0,,ALBANEL,1940-12-19 00:00:00,QC,,,,7060080.1940.12.19,7060080,0,,,-17.5,1940,,,,,12,,19,,,,0
-72.45,48.88333333333333,,-15,-1.1,,0,,26.1,,0,,ALBANEL,1940-12-20 00:00:00,QC,,,,7060080.1940.12.20,7060080,0,,,-8.1,1940,,,,,12,,20,,,,0
-72.45,48.88333333333333,,-17.2,-12.8,,0,,33,,0,,ALBANEL,1940-12-21 00:00:00,QC,,,,7060080.1940.12.21,7060080,0,,,-15,1940,,,,,12,,21,,,,0
-72.45,48.88333333333333,,-18.9,-12.2,,0,,33.6,,0,,ALBANEL,1940-12-22 00:00:00,QC,,,,7060080.1940.12.22,7060080,0,,,-15.6,1940,,,,,12,,22,,,,0
-72.45,48.88333333333333,,-22.2,-11.7,,0,,35,,0,,ALBANEL,1940-12-23 00:00:00,QC,,,,7060080.1940.12.23,7060080,0,,,-17,1940,,,,,12,,23,,,,0
-72.45,48.88333333333333,,-21.7,-9.4,,0,,33.6,,0,,ALBANEL,1940-12-24 00:00:00,QC,,,,7060080.1940.12.24,7060080,0,,,-15.6,1940,,,,,12,,24,,,,0
-72.45,48.88333333333333,,-12.2,-5,,0,,26.6,,0,,ALBANEL,1940-12-25 00:00:00,QC,,,,7060080.1940.12.25,7060080,0,,,-8.6,1940,,,,,12,,25,,,,0
-72.45,48.88333333333333,,-7.2,3.3,,7.1,,20,,7.1,,ALBANEL,1940-12-26 00:00:00,QC,,,,7060080.1940.12.26,7060080,0,,,-2,1940,,,,,12,,26,,,,0
-72.45,48.88333333333333,,-4.4,2.8,,0,,18.8,,2.5,,ALBANEL,1940-12-27 00:00:00,QC,,,,7060080.1940.12.27,7060080,0,,,-0.8,1940,,,,,12,,27,,,,2.5
-72.45,48.88333333333333,,-2.8,0.6,,0,,19.1,,2.5,,ALBANEL,1940-12-28 00:00:00,QC,,,,7060080.1940.12.28,7060080,0,,,-1.1,1940,,,,,12,,28,,,,2.5
-72.45,48.88333333333333,,0,1.7,,0,,17.1,,2.5,,ALBANEL,1940-12-29 00:00:00,QC,,,,7060080.1940.12.29,7060080,0,,,0.9,1940,,,,,12,,29,,,,2.5
-72.45,48.88333333333333,,-2.2,-1.1,,0,,19.7,T,0,,ALBANEL,1940-12-30 00:00:00,QC,,,,7060080.1940.12.30,7060080,0,,,-1.7,1940,,,,,12,,30,,T,,0
-72.45,48.88333333333333,,-9.4,-5,,0,,25.2,,0,,ALBANEL,1940-12-31 00:00:00,QC,,,,7060080.1940.12.31,7060080,0,,,-7.2,1940,,,,,12,,31,,,,0
-72.45,48.88333333333333,,-12.8,-6.7,,0,,27.8,,0,,ALBANEL,1941-01-01 00:00:00,QC,,,,7060080.1941.1.1,7060080,0,,,-9.8,1941,,,,,1,,1,,,,0
-72.45,48.88333333333333,,-20.6,-11.1,,0,,33.9,,0,,ALBANEL,1941-01-02 00:00:00,QC,,,,7060080.1941.1.2,7060080,0,,,-15.9,1941,,,,,1,,2,,,,0
-72.45,48.88333333333333,,-23.9,-7.2,,0,,33.6,,0,,ALBANEL,1941-01-03 00:00:00,QC,,,,7060080.1941.1.3,7060080,0,,,-15.6,1941,,,,,1,,3,,,,0
-72.45,48.88333333333333,,-9.4,-3.3,,0,,24.4,,10.2,,ALBANEL,1941-01-04 00:00:00,QC,,,,7060080.1941.1.4,7060080,0,,,-6.4,1941,,,,,1,,4,,,,10.2
-72.45,48.88333333333333,,-28.3,-6.1,,0,,35.2,,5.1,,ALBANEL,1941-01-05 00:00:00,QC,,,,7060080.1941.1.5,7060080,0,,,-17.2,1941,,,,,1,,5,,,,5.1
-72.45,48.88333333333333,,-20.6,-12.8,,0,,34.7,,0,,ALBANEL,1941-01-06 00:00:00,QC,,,,7060080.1941.1.6,7060080,0,,,-16.7,1941,,,,,1,,6,,,,0
-72.45,48.88333333333333,,-21.1,-13.3,,0,,35.2,,0,,ALBANEL,1941-01-07 00:00:00,QC,,,,7060080.1941.1.7,7060080,0,,,-17.2,1941,,,,,1,,7,,,,0
-72.45,48.88333333333333,,-27.2,-17.8,,0,,40.5,,0,,ALBANEL,1941-01-08 00:00:00,QC,,,,7060080.1941.1.8,7060080,0,,,-22.5,1941,,,,,1,,8,,,,0
-72.45,48.88333333333333,,-27.8,-12.8,,0,,38.3,,0,,ALBANEL,1941-01-09 00:00:00,QC,,,,7060080.1941.1.9,7060080,0,,,-20.3,1941,,,,,1,,9,,,,0
-72.45,48.88333333333333,,-16.7,-12.8,,0,,32.8,,0,,ALBANEL,1941-01-10 00:00:00,QC,,,,7060080.1941.1.10,7060080,0,,,-14.8,1941,,,,,1,,10,,,,0
-72.45,48.88333333333333,,-25,-16.7,,0,,38.9,,5.1,,ALBANEL,1941-01-11 00:00:00,QC,,,,7060080.1941.1.11,7060080,0,,,-20.9,1941,,,,,1,,11,,,,5.1
