x,y,LOCAL_MONTH,COOLING_DEGREE_DAYS,TOTAL_RAIN_FLAG,TOTAL_SNOW,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS_FLAG,MEAN_TEMPERATURE_FLAG,DIRECTION_MAX_GUST,LOCAL_DAY,HEATING_DEGREE_DAYS,MIN_TEMPERATURE,MIN_REL_HUMIDITY_FLAG,MEAN_TEMPERATURE,TOTAL_PRECIPITATION,MAX_REL_HUMIDITY,TOTAL_SNOW_FLAG,LOCAL_DATE,SNOW_ON_GROUND_FLAG,ID,MAX_TEMPERATURE,TOTAL_PRECIPITATION_FLAG,STATION_NAME,MAX_REL_HUMIDITY_FLAG,HEATING_DEGREE_DAYS_FLAG,MAX_TEMPERATURE_FLAG,MIN_TEMPERATURE_FLAG,TOTAL_RAIN,CLIMATE_IDENTIFIER,LOCAL_YEAR,MIN_REL_HUMIDITY,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SNOW_ON_GROUND,PROVINCE_CODE
-72.45,48.88333333333333,6,0,,0,,,,,4,1.6,8.9,,16.4,3.3,,,1968-06-04 00:00:00,,7060080.1968.6.4,23.9,,ALBANEL,,,,,3.3,7060080,1968,,,,,QC
-72.45,48.88333333333333,6,2.6,,0,,,,,5,0,13.9,,20.6,0,,,1968-06-05 00:00:00,,7060080.1968.6.5,27.2,,ALBANEL,,,,,0,7060080,1968,,,,,QC
-72.45,48.88333333333333,6,0,,0,,,,,6,5.2,5.6,,12.8,0,,,1968-06-06 00:00:00,,7060080.1968.6.6,20,,ALBANEL,,,,,0,7060080,1968,,,,,QC
-72.45,48.88333333333333,6,0,,0,,,,,7,1.9,8.9,,16.1,0,,,1968-06-07 00:00:00,,7060080.1968.6.7,23.3,,ALBANEL,,,,,0,7060080,1968,,,,,QC
-72.45,48.88333333333333,6,0,,0,,,,,8,3.3,4.4,,14.7,0,,,1968-06-08 00:00:00,,7060080.1968.6.8,25,,ALBANEL,,,,,0,7060080,1968,,,,,QC
-72.45,48.88333333333333,6,0,,0,,,,,9,3.8,9.4,,14.2,0,,,1968-06-09 00:00:00,,7060080.1968.6.9,18.9,,ALBANEL,,,,,0,7060080,1968,,,,,QC
-72.45,48.88333333333333,6,0,,0,,,,,10,5.2,2.2,,12.8,0,,,1968-06-10 00:00:00,,7060080.1968.6.10,23.3,,ALBANEL,,,,,0,7060080,1968,,,,,QC
-72.45,48.88333333333333,6,0,,0,,,,,11,4.4,7.2,,13.6,8.9,,,1968-06-11 00:00:00,,7060080.1968.6.11,20,,ALBANEL,,,,,8.9,7060080,1968,,,,,QC
-72.45,48.88333333333333,6,3.2,,0,,,,,12,0,15.6,,21.2,0,,,1968-06-12 00:00:00,,7060080.1968.6.12,26.7,,ALBANEL,,,,,0,7060080,1968,,,,,QC
-72.45,48.88333333333333,6,0,,0,,,,,13,0.2,8.9,,17.8,0,,,1968-06-13 00:00:00,,7060080.1968.6.13,26.7,,ALBANEL,,,,,0,7060080,1968,,,,,QC
