x,y,PROVINCE_CODE,MEAN_TEMPERATURE,TOTAL_RAIN,SNOW_ON_GROUND,HEATING_DEGREE_DAYS,DIRECTION_MAX_GUST_FLAG,LOCAL_DATE,MIN_TEMPERATURE,COOLING_DEGREE_DAYS_FLAG,TOTAL_SNOW_FLAG,MAX_TEMPERATURE_FLAG,DIRECTION_MAX_GUST,HEATING_DEGREE_DAYS_FLAG,ID,MIN_REL_HUMIDITY,LOCAL_DAY,MAX_TEMPERATURE,TOTAL_SNOW,COOLING_DEGREE_DAYS,STATION_NAME,MIN_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,MEAN_TEMPERATURE_FLAG,SPEED_MAX_GUST_FLAG,TOTAL_RAIN_FLAG,TOTAL_PRECIPITATION_FLAG,MAX_REL_HUMIDITY,LOCAL_YEAR,SNOW_ON_GROUND_FLAG,LOCAL_MONTH,SPEED_MAX_GUST,MAX_REL_HUMIDITY_FLAG,CLIMATE_IDENTIFIER,MIN_REL_HUMIDITY_FLAG
-70.785,46.205,QC,15,,,3,,1994-07-28 00:00:00,12.4,,M,,0,,7028754.1994.7.28,,28,17.6,,0,BEAUCEVILLE,,3.2,,,M,,,1994,,7,0,,7028754,
-70.785,46.205,QC,18.9,,,0,,1994-07-29 00:00:00,12.3,,M,,0,,7028754.1994.7.29,,29,25.5,,0.9,BEAUCEVILLE,,,,,M,M,,1994,,7,0,,7028754,
-70.785,46.205,QC,19.7,,,0,,1994-07-30 00:00:00,14,,M,,0,,7028754.1994.7.30,,30,25.3,,1.7,BEAUCEVILLE,,0.8,,,M,,,1994,,7,0,,7028754,
-70.785,46.205,QC,20.2,,,0,,1994-07-31 00:00:00,14.9,,M,,0,,7028754.1994.7.31,,31,25.5,,2.2,BEAUCEVILLE,,0,,,M,,,1994,,7,0,,7028754,
-70.785,46.205,QC,20.7,,,0,,1994-08-01 00:00:00,14.2,,M,,19,,7028754.1994.8.1,,1,27.1,,2.7,BEAUCEVILLE,,2.4,,,M,,,1994,,8,32,,7028754,
-70.785,46.205,QC,16.2,,,1.8,,1994-08-02 00:00:00,13.6,,M,,0,,7028754.1994.8.2,,2,18.8,,0,BEAUCEVILLE,,11.4,,,M,,,1994,,8,0,,7028754,
-70.785,46.205,QC,18.7,,,0,,1994-08-03 00:00:00,13.7,,M,,0,,7028754.1994.8.3,,3,23.6,,0.7,BEAUCEVILLE,,2.8,,,M,,,1994,,8,0,,7028754,
-70.785,46.205,QC,19.2,,,0,,1994-08-04 00:00:00,12,,M,,0,,7028754.1994.8.4,,4,26.3,,1.2,BEAUCEVILLE,,31,,,M,,,1994,,8,0,,7028754,
-70.785,46.205,QC,13.2,,,4.8,,1994-08-05 00:00:00,6,,M,,31,,7028754.1994.8.5,,5,20.3,,0,BEAUCEVILLE,,1.2,,,M,,,1994,,8,32,,7028754,
-70.785,46.205,QC,11.7,,,6.3,,1994-08-06 00:00:00,3,,M,,0,,7028754.1994.8.6,,6,20.4,,0,BEAUCEVILLE,,0,,,M,,,1994,,8,0,,7028754,
-70.785,46.205,QC,14.8,,,3.2,,1994-08-07 00:00:00,6.7,,M,,0,,7028754.1994.8.7,,7,22.9,,0,BEAUCEVILLE,,0,,,M,,,1994,,8,0,,7028754,
-70.785,46.205,QC,17.1,,,0.9,,1994-08-08 00:00:00,8.6,,M,,0,,7028754.1994.8.8,,8,25.5,,0,BEAUCEVILLE,,0,,,M,,,1994,,8,0,,7028754,
-70.785,46.205,QC,18.1,,,0,,1994-08-09 00:00:00,11,,M,,0,,7028754.1994.8.9,,9,25.1,,0.1,BEAUCEVILLE,,0.8,,,M,,,1994,,8,0,,7028754,
-70.785,46.205,QC,14.2,,,3.8,,1994-08-10 00:00:00,8.8,,M,,26,,7028754.1994.8.10,,10,19.6,,0,BEAUCEVILLE,,0,,,M,,,1994,,8,32,,7028754,
-70.785,46.205,QC,14.1,,,3.9,,1994-08-11 00:00:00,7.6,,M,,24,,7028754.1994.8.11,,11,20.5,,0,BEAUCEVILLE,,0.8,,,M,,,1994,,8,33,,7028754,
-70.785,46.205,QC,15.5,,,2.5,,1994-08-12 00:00:00,8.8,,M,,0,,7028754.1994.8.12,,12,22.1,,0,BEAUCEVILLE,,0.8,,,M,,,1994,,8,0,,7028754,
-70.785,46.205,QC,17.9,,,0.1,,1994-08-13 00:00:00,12.2,,M,,0,,7028754.1994.8.13,,13,23.6,,0,BEAUCEVILLE,,2.4,,,M,,,1994,,8,0,,7028754,
-70.785,46.205,QC,17.5,,,0.5,,1994-08-14 00:00:00,10.7,,M,,26,,7028754.1994.8.14,,14,24.2,,0,BEAUCEVILLE,,9,,,M,,,1994,,8,43,,7028754,
-70.785,46.205,QC,12,,,6,,1994-08-15 00:00:00,7.5,,M,,24,,7028754.1994.8.15,,15,16.5,,0,BEAUCEVILLE,,0,,,M,,,1994,,8,33,,7028754,
-70.785,46.205,QC,14.3,,,3.7,,1994-08-16 00:00:00,7.9,,M,,27,,7028754.1994.8.16,,16,20.6,,0,BEAUCEVILLE,,0,,,M,,,1994,,8,37,,7028754,
-70.785,46.205,QC,16.5,,,1.5,,1994-08-17 00:00:00,8.7,,M,,19,,7028754.1994.8.17,,17,24.2,,0,BEAUCEVILLE,,0,,,M,,,1994,,8,35,,7028754,
