x,y,MEAN_TEMPERATURE,MIN_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG,LOCAL_DATE,DIRECTION_MAX_GUST_FLAG,CLIMATE_IDENTIFIER,TOTAL_SNOW_FLAG,HEATING_DEGREE_DAYS_FLAG,COOLING_DEGREE_DAYS_FLAG,PROVINCE_CODE,MIN_TEMPERATURE,ID,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY_FLAG,SNOW_ON_GROUND,DIRECTION_MAX_GUST,LOCAL_MONTH,HEATING_DEGREE_DAYS,LOCAL_DAY,MAX_REL_HUMIDITY,SPEED_MAX_GUST_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,SNOW_ON_GROUND_FLAG,SPEED_MAX_GUST,LOCAL_YEAR,MAX_TEMPERATURE,TOTAL_SNOW,MAX_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS,STATION_NAME
-70.785,46.205,-14.3,51,,2022-01-23 00:00:00,,7028754,,,,QC,-22.3,7028754.2022.1.23,,,,,,1,32.3,23,84,,0,,,,,,2022,-6.2,,,0,BEAUCEVILLE
-70.785,46.205,-19.9,43,,2022-01-24 00:00:00,,7028754,,,,QC,-28.4,7028754.2022.1.24,,,,,,1,37.9,24,83,,0.2,,,,,,2022,-11.5,,,0,BEAUCEVILLE
-70.785,46.205,-11.1,60,,2022-01-25 00:00:00,,7028754,,,,QC,-17.3,7028754.2022.1.25,,,,,,1,29.1,25,87,,2.3,,,,,,2022,-4.9,,,0,BEAUCEVILLE
-70.785,46.205,-21.9,55,,2022-01-26 00:00:00,,7028754,,,,QC,-29.1,7028754.2022.1.26,,,,,,1,39.9,26,79,,0.2,,,,,,2022,-14.6,,,0,BEAUCEVILLE
-70.785,46.205,-21.2,40,,2022-01-27 00:00:00,,7028754,,,,QC,-34,7028754.2022.1.27,,,,,,1,39.2,27,84,,0.2,,,,,,2022,-8.4,,,0,BEAUCEVILLE
-70.785,46.205,-16.6,58,,2022-01-28 00:00:00,,7028754,,,,QC,-26.4,7028754.2022.1.28,,,,,,1,34.6,28,89,,0.4,,,,,,2022,-6.8,,,0,BEAUCEVILLE
-70.785,46.205,-21.3,52,,2022-01-29 00:00:00,,7028754,,,,QC,-27.4,7028754.2022.1.29,,,,,34,1,39.3,29,84,,4.2,,,,,37,2022,-15.2,,,0,BEAUCEVILLE
-70.785,46.205,-15.6,43,,2022-01-30 00:00:00,,7028754,,,,QC,-18.9,7028754.2022.1.30,,,,,30,1,33.6,30,83,,0.2,,,,,32,2022,-12.2,,,0,BEAUCEVILLE
-70.785,46.205,-16.1,53,,2022-01-31 00:00:00,,7028754,,,,QC,-23.3,7028754.2022.1.31,,,,,,1,34.1,31,83,,0,,,,,,2022,-8.9,,,0,BEAUCEVILLE
-70.785,46.205,-15.9,46,,2022-02-01 00:00:00,,7028754,,,,QC,-28,7028754.2022.2.1,,,,,,2,33.9,1,82,,0.2,,,,,,2022,-3.7,,,0,BEAUCEVILLE
-70.785,46.205,-2.4,43,,2022-02-02 00:00:00,,7028754,,,,QC,-12.3,7028754.2022.2.2,,,,,,2,20.4,2,87,,0,,,,,,2022,7.5,,,0,BEAUCEVILLE
-70.785,46.205,-4.5,81,,2022-02-03 00:00:00,,7028754,,,,QC,-11.2,7028754.2022.2.3,,,,,,2,22.5,3,98,,9.3,,,,,,2022,2.2,,,0,BEAUCEVILLE
-70.785,46.205,-12.9,70,,2022-02-04 00:00:00,,7028754,,,,QC,-14.7,7028754.2022.2.4,,,,,,2,30.9,4,87,,10.9,,,,,,2022,-11.1,,,0,BEAUCEVILLE
-70.785,46.205,-16.3,59,,2022-02-05 00:00:00,,7028754,,,,QC,-21,7028754.2022.2.5,,,,,,2,34.3,5,85,,1.4,,,,,,2022,-11.6,,,0,BEAUCEVILLE
-70.785,46.205,-17.9,53,,2022-02-06 00:00:00,,7028754,,,,QC,-25.9,7028754.2022.2.6,,,,,,2,35.9,6,79,,0,,,,,,2022,-9.8,,,0,BEAUCEVILLE
-70.785,46.205,-6.3,56,,2022-02-07 00:00:00,,7028754,,,,QC,-10.7,7028754.2022.2.7,,,,,,2,24.3,7,87,,0,,,,,,2022,-1.8,,,0,BEAUCEVILLE
-70.785,46.205,-4.1,86,,2022-02-08 00:00:00,,7028754,,,,QC,-5.8,7028754.2022.2.8,,,,,,2,22.1,8,96,,10.1,,,,,,2022,-2.4,,,0,BEAUCEVILLE
-70.785,46.205,-3.9,69,,2022-02-09 00:00:00,,7028754,,,,QC,-6.8,7028754.2022.2.9,,,,,,2,21.9,9,93,,0,,,,,,2022,-1,,,0,BEAUCEVILLE
-70.785,46.205,-1.8,76,,2022-02-10 00:00:00,,7028754,,,,QC,-6.1,7028754.2022.2.10,,,,,,2,19.8,10,96,,2.4,,,,,,2022,2.4,,,0,BEAUCEVILLE
-70.785,46.205,1.6,62,,2022-02-11 00:00:00,,7028754,,,,QC,-1.1,7028754.2022.2.11,,,,,,2,16.4,11,87,,0.2,,,,,,2022,4.3,,,0,BEAUCEVILLE
-70.785,46.205,-5.8,66,,2022-02-12 00:00:00,,7028754,,,,QC,-16.6,7028754.2022.2.12,,,,,30,2,23.8,12,95,,2,,,,,33,2022,5.1,,,0,BEAUCEVILLE
-70.785,46.205,-16.7,45,,2022-02-13 00:00:00,,7028754,,,,QC,-21.7,7028754.2022.2.13,,,,,,2,34.7,13,79,,0.2,,,,,,2022,-11.6,,,0,BEAUCEVILLE
-70.785,46.205,-16.8,58,,2022-02-14 00:00:00,,7028754,,,,QC,-19.1,7028754.2022.2.14,,,,,,2,34.8,14,73,,0.2,,,,,,2022,-14.4,,,0,BEAUCEVILLE
-70.785,46.205,-16.6,47,,2022-02-15 00:00:00,,7028754,,,,QC,-22.2,7028754.2022.2.15,,,,,30,2,34.6,15,83,,0,,,,,31,2022,-10.9,,,0,BEAUCEVILLE
-70.785,46.205,-10.4,41,,2022-02-16 00:00:00,,7028754,,,,QC,-25.7,7028754.2022.2.16,,,,,16,2,28.4,16,82,,0.2,,,,,35,2022,5,,,0,BEAUCEVILLE
-70.785,46.205,3.8,66,,2022-02-17 00:00:00,,7028754,,,,QC,0.3,7028754.2022.2.17,,,,,,2,14.2,17,99,,24.8,,,,,,2022,7.4,,,0,BEAUCEVILLE
-70.785,46.205,-8.1,70,,2022-02-18 00:00:00,,7028754,,,,QC,-17.3,7028754.2022.2.18,,,,,1,2,26.1,18,98,,18,,,,,35,2022,1,,,0,BEAUCEVILLE
-70.785,46.205,-12.6,70,,2022-02-19 00:00:00,,7028754,,,,QC,-20.2,7028754.2022.2.19,,,,,30,2,30.6,19,91,,4.5,,,,,43,2022,-5,,,0,BEAUCEVILLE
-70.785,46.205,-11.4,53,,2022-02-20 00:00:00,,7028754,,,,QC,-19.2,7028754.2022.2.20,,,,,29,2,29.4,20,86,,0.2,,,,,35,2022,-3.5,,,0,BEAUCEVILLE
-70.785,46.205,-5.2,57,,2022-02-21 00:00:00,,7028754,,,,QC,-10.6,7028754.2022.2.21,,,,,,2,23.2,21,86,,0.2,,,,,,2022,0.2,,,0,BEAUCEVILLE
-70.785,46.205,-5.3,62,,2022-02-22 00:00:00,,7028754,,,,QC,-11.8,7028754.2022.2.22,,,,,8,2,23.3,22,98,,19.5,,,,,34,2022,1.2,,,0,BEAUCEVILLE
-70.785,46.205,-5,58,,2022-02-23 00:00:00,,7028754,,,,QC,-15.2,7028754.2022.2.23,,,,,23,2,23,23,99,,3.8,,,,,45,2022,5.3,,,0,BEAUCEVILLE
-70.785,46.205,-15.5,40,,2022-02-24 00:00:00,,7028754,,,,QC,-20.2,7028754.2022.2.24,,,,,27,2,33.5,24,80,,0.2,,,,,34,2022,-10.8,,,0,BEAUCEVILLE
-70.785,46.205,-19.3,67,,2022-02-25 00:00:00,,7028754,,,,QC,-24.3,7028754.2022.2.25,,,,,,2,37.3,25,84,,4.2,,,,,,2022,-14.4,,,0,BEAUCEVILLE
-70.785,46.205,-16.9,47,,2022-02-26 00:00:00,,7028754,,,,QC,-27.1,7028754.2022.2.26,,,,,,2,34.9,26,81,,0,,,,,,2022,-6.8,,,0,BEAUCEVILLE
-70.785,46.205,-8.7,59,,2022-02-27 00:00:00,,7028754,,,,QC,-14.5,7028754.2022.2.27,,,,,31,2,26.7,27,86,,2.7,,,,,40,2022,-2.8,,,0,BEAUCEVILLE
-70.785,46.205,-17.2,43,,2022-02-28 00:00:00,,7028754,,,,QC,-21.1,7028754.2022.2.28,,,,,31,2,35.2,28,76,,0.2,,,,,33,2022,-13.4,,,0,BEAUCEVILLE
-70.785,46.205,-13.4,34,,2022-03-01 00:00:00,,7028754,,,,QC,-22.4,7028754.2022.3.1,,,,,14,3,31.4,1,93,,2,,,,,31,2022,-4.4,,,0,BEAUCEVILLE
-70.785,46.205,-7.9,49,,2022-03-02 00:00:00,,7028754,,,,QC,-11.8,7028754.2022.3.2,,,,,,3,25.9,2,92,,0.7,,,,,,2022,-4.1,,,0,BEAUCEVILLE
-70.785,46.205,-14.7,44,,2022-03-03 00:00:00,,7028754,,,,QC,-20.7,7028754.2022.3.3,,,,,29,3,32.7,3,90,,2.1,,,,,37,2022,-8.7,,,0,BEAUCEVILLE
-70.785,46.205,-14.4,40,,2022-03-04 00:00:00,,7028754,,,,QC,-23.1,7028754.2022.3.4,,,,,19,3,32.4,4,78,,0.2,,,,,32,2022,-5.6,,,0,BEAUCEVILLE
-70.785,46.205,-7,31,,2022-03-05 00:00:00,,7028754,,,,QC,-12.2,7028754.2022.3.5,,,,,,3,25,5,81,,0,,,,,,2022,-1.8,,,0,BEAUCEVILLE
-70.785,46.205,1.2,72,,2022-03-06 00:00:00,,7028754,,,,QC,-7,7028754.2022.3.6,,,,,29,3,16.8,6,98,,11.7,,,,,36,2022,9.4,,,0,BEAUCEVILLE
-70.785,46.205,0.9,77,,2022-03-07 00:00:00,,7028754,,,,QC,-2.1,7028754.2022.3.7,,,,,,3,17.1,7,99,,11.5,,,,,,2022,3.9,,,0,BEAUCEVILLE
-70.785,46.205,-7.2,64,,2022-03-08 00:00:00,,7028754,,,,QC,-12.6,7028754.2022.3.8,,,,,25,3,25.2,8,88,,1.2,,,,,42,2022,-1.8,,,0,BEAUCEVILLE
-70.785,46.205,-6.8,47,,2022-03-09 00:00:00,,7028754,,,,QC,-15.1,7028754.2022.3.9,,,,,,3,24.8,9,87,,0,,,,,,2022,1.5,,,0,BEAUCEVILLE
-70.785,46.205,-0.8,37,,2022-03-10 00:00:00,,7028754,,,,QC,-4.6,7028754.2022.3.10,,,,,,3,18.8,10,79,,0,,,,,,2022,2.9,,,0,BEAUCEVILLE
-70.785,46.205,-2.1,54,,2022-03-11 00:00:00,,7028754,,,,QC,-6.3,7028754.2022.3.11,,,,,,3,20.1,11,95,,0,,,,,,2022,2,,,0,BEAUCEVILLE
-70.785,46.205,-3.1,72,,2022-03-12 00:00:00,,7028754,,,,QC,-7.5,7028754.2022.3.12,,,,,30,3,21.1,12,98,,18.9,,,,,44,2022,1.3,,,0,BEAUCEVILLE
-70.785,46.205,-9.7,54,,2022-03-13 00:00:00,,7028754,,,,QC,-12.1,7028754.2022.3.13,,,,,28,3,27.7,13,87,,0.2,,,,,43,2022,-7.4,,,0,BEAUCEVILLE
-70.785,46.205,-6.1,62,,2022-03-14 00:00:00,,7028754,,,,QC,-13.1,7028754.2022.3.14,,,,,,3,24.1,14,93,,0.8,,,,,,2022,1,,,0,BEAUCEVILLE
-70.785,46.205,-2.4,37,,2022-03-15 00:00:00,,7028754,,,,QC,-6.4,7028754.2022.3.15,,,,,,3,20.4,15,83,,0,,,,,,2022,1.6,,,0,BEAUCEVILLE
-70.785,46.205,0.3,48,,2022-03-16 00:00:00,,7028754,,,,QC,-7.5,7028754.2022.3.16,,,,,,3,17.7,16,84,,0,,,,,,2022,8.2,,,0,BEAUCEVILLE
-70.785,46.205,8.2,37,,2022-03-17 00:00:00,,7028754,,,,QC,-0.5,7028754.2022.3.17,,,,,,3,9.8,17,83,,0,,,,,,2022,16.9,,,0,BEAUCEVILLE
-70.785,46.205,5.1,62,,2022-03-18 00:00:00,,7028754,,,,QC,-0.9,7028754.2022.3.18,,,,,,3,12.9,18,98,,0.9,,,,,,2022,11,,,0,BEAUCEVILLE
-70.785,46.205,1,70,,2022-03-19 00:00:00,,7028754,,,,QC,-0.3,7028754.2022.3.19,,,,,12,3,17,19,98,,14.2,,,,,35,2022,2.2,,,0,BEAUCEVILLE
-70.785,46.205,3,83,,2022-03-20 00:00:00,,7028754,,,,QC,0.2,7028754.2022.3.20,,,,,,3,15,20,98,,6.8,,,,,,2022,5.7,,,0,BEAUCEVILLE
-70.785,46.205,-0.1,54,,2022-03-21 00:00:00,,7028754,,,,QC,-2.4,7028754.2022.3.21,,,,,30,3,18.1,21,90,,0,,,,,40,2022,2.2,,,0,BEAUCEVILLE
-70.785,46.205,-3.3,44,,2022-03-22 00:00:00,,7028754,,,,QC,-5.6,7028754.2022.3.22,,,,,31,3,21.3,22,71,,0.2,,,,,43,2022,-1.1,,,0,BEAUCEVILLE
-70.785,46.205,-2.5,43,,2022-03-23 00:00:00,,7028754,,,,QC,-9.1,7028754.2022.3.23,,,,,,3,20.5,23,88,,0,,,,,,2022,4.2,,,0,BEAUCEVILLE
-70.785,46.205,1.2,60,,2022-03-24 00:00:00,,7028754,,,,QC,-2,7028754.2022.3.24,,,,,16,3,16.8,24,97,,6.9,,,,,39,2022,4.5,,,0,BEAUCEVILLE
-70.785,46.205,1.2,82,,2022-03-25 00:00:00,,7028754,,,,QC,-0.5,7028754.2022.3.25,,,,,,3,16.8,25,98,,,M,,,,,2022,3,,,0,BEAUCEVILLE
-70.785,46.205,2.6,60,,2022-03-26 00:00:00,,7028754,,,,QC,-0.3,7028754.2022.3.26,,,,,,3,15.4,26,99,,1.3,,,,,,2022,5.4,,,0,BEAUCEVILLE
-70.785,46.205,-1.6,72,,2022-03-27 00:00:00,,7028754,,,,QC,-6.9,7028754.2022.3.27,,,,,,3,19.6,27,98,,2.3,,,,,,2022,3.7,,,0,BEAUCEVILLE
-70.785,46.205,-9.1,54,,2022-03-28 00:00:00,,7028754,,,,QC,-11.2,7028754.2022.3.28,,,,,,3,27.1,28,78,,0.6,,,,,,2022,-6.9,,,0,BEAUCEVILLE
-70.785,46.205,-8.3,51,,2022-03-29 00:00:00,,7028754,,,,QC,-11.7,7028754.2022.3.29,,,,,31,3,26.3,29,76,,0,,,,,41,2022,-5,,,0,BEAUCEVILLE
-70.785,46.205,-3.1,40,,2022-03-30 00:00:00,,7028754,,,,QC,-9,7028754.2022.3.30,,,,,,3,21.1,30,90,,0,,,,,,2022,2.8,,,0,BEAUCEVILLE
-70.785,46.205,3.3,61,,2022-03-31 00:00:00,,7028754,,,,QC,-2.2,7028754.2022.3.31,,,,,,3,14.7,31,97,,5,,,,,,2022,8.8,,,0,BEAUCEVILLE
-70.785,46.205,2.3,63,,2022-04-01 00:00:00,,7028754,,,,QC,-2.3,7028754.2022.4.1,,,,,32,4,15.7,1,98,,0.7,,,,,32,2022,7,,,0,BEAUCEVILLE
-70.785,46.205,-0.1,30,,2022-04-02 00:00:00,,7028754,,,,QC,-4,7028754.2022.4.2,,,,,30,4,18.1,2,88,,0.9,,,,,38,2022,3.7,,,0,BEAUCEVILLE
-70.785,46.205,1,25,,2022-04-03 00:00:00,,7028754,,,,QC,-4.3,7028754.2022.4.3,,,,,,4,17,3,80,,0,,,,,,2022,6.4,,,0,BEAUCEVILLE
-70.785,46.205,2.3,27,,2022-04-04 00:00:00,,7028754,,,,QC,-3.2,7028754.2022.4.4,,,,,,4,15.7,4,71,,0,,,,,,2022,7.8,,,0,BEAUCEVILLE
-70.785,46.205,0.8,22,,2022-04-05 00:00:00,,7028754,,,,QC,-6.3,7028754.2022.4.5,,,,,,4,17.2,5,83,,0,,,,,,2022,8,,,0,BEAUCEVILLE
-70.785,46.205,2.3,19,,2022-04-06 00:00:00,,7028754,,,,QC,-6.9,7028754.2022.4.6,,,,,,4,15.7,6,86,,0,,,,,,2022,11.6,,,0,BEAUCEVILLE
-70.785,46.205,5.2,24,,2022-04-07 00:00:00,,7028754,,,,QC,0.8,7028754.2022.4.7,,,,,13,4,12.8,7,95,,11.5,,,,,39,2022,9.5,,,0,BEAUCEVILLE
-70.785,46.205,2.2,87,,2022-04-08 00:00:00,,7028754,,,,QC,-0.7,7028754.2022.4.8,,,,,10,4,15.8,8,99,,11.5,,,,,34,2022,5.2,,,0,BEAUCEVILLE
-70.785,46.205,4.7,71,,2022-04-09 00:00:00,,7028754,,,,QC,-0.3,7028754.2022.4.9,,,,,,4,13.3,9,99,,9.8,,,,,,2022,9.7,,,0,BEAUCEVILLE
-70.785,46.205,4.7,62,,2022-04-10 00:00:00,,7028754,,,,QC,1.5,7028754.2022.4.10,,,,,28,4,13.3,10,97,,0.2,,,,,31,2022,8,,,0,BEAUCEVILLE
-70.785,46.205,5.8,38,,2022-04-11 00:00:00,,7028754,,,,QC,-0.2,7028754.2022.4.11,,,,,,4,12.2,11,83,,0,,,,,,2022,11.9,,,0,BEAUCEVILLE
-70.785,46.205,6.7,31,,2022-04-12 00:00:00,,7028754,,,,QC,-0.3,7028754.2022.4.12,,,,,,4,11.3,12,98,,4,,,,,,2022,13.8,,,0,BEAUCEVILLE
-70.785,46.205,5.2,34,,2022-04-13 00:00:00,,7028754,,,,QC,-2.3,7028754.2022.4.13,,,,,,4,12.8,13,97,,2.6,,,,,,2022,12.7,,,0,BEAUCEVILLE
-70.785,46.205,5,94,,2022-04-14 00:00:00,,7028754,,,,QC,4,7028754.2022.4.14,,,,,,4,13,14,99,,12.3,,,,,,2022,6,,,0,BEAUCEVILLE
-70.785,46.205,7.4,26,,2022-04-15 00:00:00,,7028754,,,,QC,1.3,7028754.2022.4.15,,,,,21,4,10.6,15,98,,5.4,,,,,42,2022,13.5,,,0,BEAUCEVILLE
