x,y,STATION_NAME,TOTAL_PRECIPITATION_FLAG,LOCAL_MONTH,SPEED_MAX_GUST,MAX_REL_HUMIDITY,CLIMATE_IDENTIFIER,TOTAL_PRECIPITATION,TOTAL_SNOW,COOLING_DEGREE_DAYS_FLAG,LOCAL_YEAR,ID,LOCAL_DAY,MIN_REL_HUMIDITY_FLAG,SNOW_ON_GROUND_FLAG,HEATING_DEGREE_DAYS_FLAG,MEAN_TEMPERATURE,HEATING_DEGREE_DAYS,MAX_REL_HUMIDITY_FLAG,SNOW_ON_GROUND,DIRECTION_MAX_GUST_FLAG,PROVINCE_CODE,COOLING_DEGREE_DAYS,DIRECTION_MAX_GUST,MAX_TEMPERATURE,MIN_REL_HUMIDITY,TOTAL_SNOW_FLAG,LOCAL_DATE,TOTAL_RAIN_FLAG,MIN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,SPEED_MAX_GUST_FLAG,TOTAL_RAIN,MAX_TEMPERATURE_FLAG
-70.53333333333333,46.75,ARMAGH,,1,,,7050240,0,0,,1969,7050240.1969.1.29,29,,,,-12.5,30.5,,,,QC,0,,-6.1,,,1969-01-29 00:00:00,,,-18.9,,,0,
-70.53333333333333,46.75,ARMAGH,,1,,,7050240,17.8,12.7,,1969,7050240.1969.1.30,30,,,,-5.3,23.3,,,,QC,0,,-1.1,,,1969-01-30 00:00:00,,,-9.4,,,5.1,
-70.53333333333333,46.75,ARMAGH,,1,,,7050240,2.5,2.5,,1969,7050240.1969.1.31,31,,,,-2.5,20.5,,,,QC,0,,-0.6,,,1969-01-31 00:00:00,,,-4.4,,,0,
-70.53333333333333,46.75,ARMAGH,,2,,,7050240,2,2,,1969,7050240.1969.2.1,1,,,,-4.5,22.5,,,,QC,0,,-2.2,,,1969-02-01 00:00:00,,,-6.7,,,0,
-70.53333333333333,46.75,ARMAGH,,2,,,7050240,3.3,3.3,,1969,7050240.1969.2.2,2,,,,-5.3,23.3,,,,QC,0,,-3.9,,,1969-02-02 00:00:00,,,-6.7,,,0,
-70.53333333333333,46.75,ARMAGH,,2,,,7050240,16.5,16.5,,1969,7050240.1969.2.3,3,,,,-5.3,23.3,,,,QC,0,,-1.1,,,1969-02-03 00:00:00,,,-9.4,,,0,
-70.53333333333333,46.75,ARMAGH,T,2,,,7050240,0,0,,1969,7050240.1969.2.4,4,,,,-9.5,27.5,,,,QC,0,,-6.7,,T,1969-02-04 00:00:00,,,-12.2,,,0,
-70.53333333333333,46.75,ARMAGH,,2,,,7050240,0,0,,1969,7050240.1969.2.5,5,,,,-21.4,39.4,,,,QC,0,,-19.4,,,1969-02-05 00:00:00,,,-23.3,,,0,
-70.53333333333333,46.75,ARMAGH,,2,,,7050240,0,0,,1969,7050240.1969.2.6,6,,,,-19.2,37.2,,,,QC,0,,-13.9,,,1969-02-06 00:00:00,,,-24.4,,,0,
-70.53333333333333,46.75,ARMAGH,,2,,,7050240,0,0,,1969,7050240.1969.2.7,7,,,,-14.8,32.8,,,,QC,0,,-10.6,,,1969-02-07 00:00:00,,,-18.9,,,0,
-70.53333333333333,46.75,ARMAGH,,2,,,7050240,0,0,,1969,7050240.1969.2.8,8,,,,-10.6,28.6,,,,QC,0,,-5.6,,,1969-02-08 00:00:00,,,-15.6,,,0,
-70.53333333333333,46.75,ARMAGH,,2,,,7050240,3.6,3.6,,1969,7050240.1969.2.9,9,,,,-7,25,,,,QC,0,,-1.1,,,1969-02-09 00:00:00,,,-12.8,,,0,
-70.53333333333333,46.75,ARMAGH,,2,,,7050240,0,0,,1969,7050240.1969.2.10,10,,,,-5.6,23.6,,,,QC,0,,-3.9,,,1969-02-10 00:00:00,,,-7.2,,,0,
-70.53333333333333,46.75,ARMAGH,,2,,,7050240,0,0,,1969,7050240.1969.2.11,11,,,,-9.7,27.7,,,,QC,0,,-6.1,,,1969-02-11 00:00:00,,,-13.3,,,0,
-70.53333333333333,46.75,ARMAGH,,2,,,7050240,0.8,0.8,,1969,7050240.1969.2.12,12,,,,-7,25,,,,QC,0,,-2.2,,,1969-02-12 00:00:00,,,-11.7,,,0,
-70.53333333333333,46.75,ARMAGH,,2,,,7050240,3,3,,1969,7050240.1969.2.13,13,,,,-8.6,26.6,,,,QC,0,,-5,,,1969-02-13 00:00:00,,,-12.2,,,0,
-70.53333333333333,46.75,ARMAGH,,2,,,7050240,0,0,,1969,7050240.1969.2.14,14,,,,-15,33,,,,QC,0,,-12.8,,,1969-02-14 00:00:00,,,-17.2,,,0,
-70.53333333333333,46.75,ARMAGH,,2,,,7050240,0,0,,1969,7050240.1969.2.15,15,,,,-15,33,,,,QC,0,,-10,,,1969-02-15 00:00:00,,,-20,,,0,
-70.53333333333333,46.75,ARMAGH,,2,,,7050240,0.5,0.5,,1969,7050240.1969.2.16,16,,,,-9.2,27.2,,,,QC,0,,-6.7,,,1969-02-16 00:00:00,,,-11.7,,,0,
-70.53333333333333,46.75,ARMAGH,,2,,,7050240,0,0,,1969,7050240.1969.2.17,17,,,,-7.3,25.3,,,,QC,0,,-2.8,,,1969-02-17 00:00:00,,,-11.7,,,0,
-70.53333333333333,46.75,ARMAGH,,2,,,7050240,1.5,1.5,,1969,7050240.1969.2.18,18,,,,-9.2,27.2,,,,QC,0,,0,,,1969-02-18 00:00:00,,,-18.3,,,0,
-70.53333333333333,46.75,ARMAGH,,2,,,7050240,0,0,,1969,7050240.1969.2.19,19,,,,-2.2,20.2,,,,QC,0,,0.6,,,1969-02-19 00:00:00,,,-5,,,0,
-70.53333333333333,46.75,ARMAGH,,2,,,7050240,0,0,,1969,7050240.1969.2.20,20,,,,1.1,16.9,,,,QC,0,,4.4,,,1969-02-20 00:00:00,,,-2.2,,,0,
-70.53333333333333,46.75,ARMAGH,,2,,,7050240,0,0,,1969,7050240.1969.2.21,21,,,,0.3,17.7,,,,QC,0,,5,,,1969-02-21 00:00:00,,,-4.4,,,0,
-70.53333333333333,46.75,ARMAGH,,2,,,7050240,0,0,,1969,7050240.1969.2.22,22,,,,-0.6,18.6,,,,QC,0,,3.3,,,1969-02-22 00:00:00,,,-4.4,,,0,
-70.53333333333333,46.75,ARMAGH,,2,,,7050240,0,0,,1969,7050240.1969.2.23,23,,,,-4.7,22.7,,,,QC,0,,0.6,,,1969-02-23 00:00:00,,,-10,,,0,
-70.53333333333333,46.75,ARMAGH,,2,,,7050240,2.3,2.3,,1969,7050240.1969.2.24,24,,,,-5.9,23.9,,,,QC,0,,-1.7,,,1969-02-24 00:00:00,,,-10,,,0,
-70.53333333333333,46.75,ARMAGH,,2,,,7050240,3,3,,1969,7050240.1969.2.25,25,,,,-5.8,23.8,,,,QC,0,,-4.4,,,1969-02-25 00:00:00,,,-7.2,,,0,
-70.53333333333333,46.75,ARMAGH,,2,,,7050240,0,0,,1969,7050240.1969.2.26,26,,,,-7,25,,,,QC,0,,-5.6,,,1969-02-26 00:00:00,,,-8.3,,,0,
-70.53333333333333,46.75,ARMAGH,,2,,,7050240,0,0,,1969,7050240.1969.2.27,27,,,,-8.1,26.1,,,,QC,0,,-6.7,,,1969-02-27 00:00:00,,,-9.4,,,0,
-70.53333333333333,46.75,ARMAGH,,2,,,7050240,0,0,,1969,7050240.1969.2.28,28,,,,-7.3,25.3,,,,QC,0,,-1.7,,,1969-02-28 00:00:00,,,-12.8,,,0,
-70.53333333333333,46.75,ARMAGH,,3,,,7050240,0,0,,1969,7050240.1969.3.1,1,,,,-7.2,25.2,,,,QC,0,,2.8,,,1969-03-01 00:00:00,,,-17.2,,,0,
-70.53333333333333,46.75,ARMAGH,,3,,,7050240,0,0,,1969,7050240.1969.3.2,2,,,,-5.3,23.3,,,,QC,0,,4.4,,,1969-03-02 00:00:00,,,-15,,,0,
-70.53333333333333,46.75,ARMAGH,,3,,,7050240,0,0,,1969,7050240.1969.3.3,3,,,,-3.6,21.6,,,,QC,0,,1.7,,,1969-03-03 00:00:00,,,-8.9,,,0,
-70.53333333333333,46.75,ARMAGH,,3,,,7050240,0,0,,1969,7050240.1969.3.4,4,,,,-7,25,,,,QC,0,,-1.7,,,1969-03-04 00:00:00,,,-12.2,,,0,
-70.53333333333333,46.75,ARMAGH,,3,,,7050240,0,0,,1969,7050240.1969.3.5,5,,,,-17,35,,,,QC,0,,-13.9,,,1969-03-05 00:00:00,,,-20,,,0,
-70.53333333333333,46.75,ARMAGH,,3,,,7050240,0,0,,1969,7050240.1969.3.6,6,,,,-16.4,34.4,,,,QC,0,,-11.7,,,1969-03-06 00:00:00,,,-21.1,,,0,
-70.53333333333333,46.75,ARMAGH,,3,,,7050240,0.5,0.5,,1969,7050240.1969.3.7,7,,,,-12.8,30.8,,,,QC,0,,-7.8,,,1969-03-07 00:00:00,,,-17.8,,,0,
-70.53333333333333,46.75,ARMAGH,,3,,,7050240,0,0,,1969,7050240.1969.3.8,8,,,,-12.8,30.8,,,,QC,0,,-10,,,1969-03-08 00:00:00,,,-15.6,,,0,
-70.53333333333333,46.75,ARMAGH,,3,,,7050240,3,3,,1969,7050240.1969.3.9,9,,,,-9.2,27.2,,,,QC,0,,-2.8,,,1969-03-09 00:00:00,,,-15.6,,,0,
-70.53333333333333,46.75,ARMAGH,,3,,,7050240,9.1,9.1,,1969,7050240.1969.3.10,10,,,,-2.8,20.8,,,,QC,0,,1.1,,,1969-03-10 00:00:00,,,-6.7,,,0,
-70.53333333333333,46.75,ARMAGH,,3,,,7050240,6.6,6.6,,1969,7050240.1969.3.11,11,,,,-7.3,25.3,,,,QC,0,,-5.6,,,1969-03-11 00:00:00,,,-8.9,,,0,
-70.53333333333333,46.75,ARMAGH,,3,,,7050240,3.6,3.6,,1969,7050240.1969.3.12,12,,,,-8.9,26.9,,,,QC,0,,-6.1,,,1969-03-12 00:00:00,,,-11.7,,,0,
-70.53333333333333,46.75,ARMAGH,,3,,,7050240,0,0,,1969,7050240.1969.3.13,13,,,,-5,23,,,,QC,0,,-1.1,,,1969-03-13 00:00:00,,,-8.9,,,0,
-70.53333333333333,46.75,ARMAGH,,3,,,7050240,0,0,,1969,7050240.1969.3.14,14,,,,-0.6,18.6,,,,QC,0,,3.9,,,1969-03-14 00:00:00,,,-5,,,0,
-70.53333333333333,46.75,ARMAGH,,3,,,7050240,0,0,,1969,7050240.1969.3.15,15,,,,-5,23,,,,QC,0,,0.6,,,1969-03-15 00:00:00,,,-10.6,,,0,
-70.53333333333333,46.75,ARMAGH,,3,,,7050240,0,0,,1969,7050240.1969.3.16,16,,,,-2.3,20.3,,,,QC,0,,1.1,,,1969-03-16 00:00:00,,,-5.6,,,0,
-70.53333333333333,46.75,ARMAGH,,3,,,7050240,0,0,,1969,7050240.1969.3.17,17,,,,-8.9,26.9,,,,QC,0,,-1.1,,,1969-03-17 00:00:00,,,-16.7,,,0,
-70.53333333333333,46.75,ARMAGH,,3,,,7050240,0,0,,1969,7050240.1969.3.18,18,,,,-6.1,24.1,,,,QC,0,,0,,,1969-03-18 00:00:00,,,-12.2,,,0,
-70.53333333333333,46.75,ARMAGH,,3,,,7050240,1.3,1.3,,1969,7050240.1969.3.19,19,,,,-1.1,19.1,,,,QC,0,,0.6,,,1969-03-19 00:00:00,,,-2.8,,,0,
-70.53333333333333,46.75,ARMAGH,,3,,,7050240,2,2,,1969,7050240.1969.3.20,20,,,,1.1,16.9,,,,QC,0,,4.4,,,1969-03-20 00:00:00,,,-2.2,,,0,
-70.53333333333333,46.75,ARMAGH,,3,,,7050240,3,0,,1969,7050240.1969.3.21,21,,,,1.1,16.9,,,,QC,0,,2.2,,,1969-03-21 00:00:00,,,0,,,3,
-70.53333333333333,46.75,ARMAGH,,3,,,7050240,1.8,1.8,,1969,7050240.1969.3.22,22,,,,1.1,16.9,,,,QC,0,,2.2,,,1969-03-22 00:00:00,,,0,,,0,
-70.53333333333333,46.75,ARMAGH,,3,,,7050240,0,0,,1969,7050240.1969.3.23,23,,,,-0.6,18.6,,,,QC,0,,4.4,,,1969-03-23 00:00:00,,,-5.6,,,0,
-70.53333333333333,46.75,ARMAGH,,3,,,7050240,0,0,,1969,7050240.1969.3.24,24,,,,5.3,12.7,,,,QC,0,,12.2,,,1969-03-24 00:00:00,,,-1.7,,,0,
-70.53333333333333,46.75,ARMAGH,,3,,,7050240,13.5,3,,1969,7050240.1969.3.25,25,,,,3.4,14.6,,,,QC,0,,5,,,1969-03-25 00:00:00,,,1.7,,,10.4,
-70.53333333333333,46.75,ARMAGH,,3,,,7050240,5.8,5.8,,1969,7050240.1969.3.26,26,,,,0.9,17.1,,,,QC,0,,1.1,,,1969-03-26 00:00:00,,,0.6,,,0,
-70.53333333333333,46.75,ARMAGH,,3,,,7050240,0,0,,1969,7050240.1969.3.27,27,,,,-6.7,24.7,,,,QC,0,,-5.6,,,1969-03-27 00:00:00,,,-7.8,,,0,
-70.53333333333333,46.75,ARMAGH,,3,,,7050240,0,0,,1969,7050240.1969.3.28,28,,,,-4.5,22.5,,,,QC,0,,2.2,,,1969-03-28 00:00:00,,,-11.1,,,0,
-70.53333333333333,46.75,ARMAGH,,3,,,7050240,13,0,,1969,7050240.1969.3.29,29,,,,-0.3,18.3,,,,QC,0,,2.2,,,1969-03-29 00:00:00,,,-2.8,,,13,
