x,y,RELATIVE_HUMIDITY,WINDCHILL_FLAG,ID,STATION_PRESSURE,HUMIDEX,UTC_YEAR,RELATIVE_HUMIDITY_FLAG,WINDCHILL,LOCAL_HOUR,PRECIP_AMOUNT,UTC_MONTH,LOCAL_YEAR,LOCAL_DAY,STATION_NAME,LOCAL_DATE,WIND_SPEED,TEMP,VISIBILITY,LOCAL_MONTH,WIND_SPEED_FLAG,PRECIP_AMOUNT_FLAG,WEATHER_ENG_DESC,STATION_PRESSURE_FLAG,UTC_DAY,DEW_POINT_TEMP_FLAG,VISIBILITY_FLAG,PROVINCE_CODE,WIND_DIRECTION_FLAG,UTC_DATE,DEW_POINT_TEMP,HUMIDEX_FLAG,CLIMATE_IDENTIFIER,WIND_DIRECTION,TEMP_FLAG,WEATHER_FRE_DESC
-73.34944444444444,45.29388888888889,74,,702LED4.2009.2.22.0,,,2009,,,0,,2,2009,22,L'ACADIE,2009-02-22 00:00:00,0,-6.6,,2,,,NA,M,22,,,QC,,2009-02-22T05:00:00,-10.5,,702LED4,0,,ND
-73.34944444444444,45.29388888888889,74,,702LED4.2009.2.22.1,,,2009,,-9,1,,2,2009,22,L'ACADIE,2009-02-22 01:00:00,6,-6.3,,2,,,NA,M,22,,,QC,,2009-02-22T06:00:00,-10.2,,702LED4,9,,ND
-73.34944444444444,45.29388888888889,66,,702LED4.2009.2.22.2,,,2009,,-9,2,,2,2009,22,L'ACADIE,2009-02-22 02:00:00,9,-4.9,,2,,,NA,M,22,,,QC,,2009-02-22T07:00:00,-10.3,,702LED4,9,,ND
-73.34944444444444,45.29388888888889,72,,702LED4.2009.2.22.3,,,2009,,-8,3,,2,2009,22,L'ACADIE,2009-02-22 03:00:00,6,-5.4,,2,,,NA,M,22,,,QC,,2009-02-22T08:00:00,-9.6,,702LED4,11,,ND
-73.34944444444444,45.29388888888889,84,,702LED4.2009.2.22.4,,,2009,,-9,4,,2,2009,22,L'ACADIE,2009-02-22 04:00:00,7,-5.5,,2,,,NA,M,22,,,QC,,2009-02-22T09:00:00,-7.7,,702LED4,8,,ND
-73.34944444444444,45.29388888888889,79,,702LED4.2009.2.22.5,,,2009,,-9,5,,2,2009,22,L'ACADIE,2009-02-22 05:00:00,9,-4.9,,2,,,NA,M,22,,,QC,,2009-02-22T10:00:00,-7.9,,702LED4,10,,ND
-73.34944444444444,45.29388888888889,80,,702LED4.2009.2.22.6,,,2009,,-8,6,,2,2009,22,L'ACADIE,2009-02-22 06:00:00,9,-4.5,,2,,,NA,M,22,,,QC,,2009-02-22T11:00:00,-7.4,,702LED4,10,,ND
-73.34944444444444,45.29388888888889,95,,702LED4.2009.2.22.7,,,2009,,-8,7,,2,2009,22,L'ACADIE,2009-02-22 07:00:00,9,-4.6,,2,,,NA,M,22,,,QC,,2009-02-22T12:00:00,-5.3,,702LED4,11,,ND
-73.34944444444444,45.29388888888889,97,,702LED4.2009.2.22.8,,,2009,,-9,8,,2,2009,22,L'ACADIE,2009-02-22 08:00:00,15,-3.6,,2,,,NA,M,22,,,QC,,2009-02-22T13:00:00,-4.0,,702LED4,13,,ND
-73.34944444444444,45.29388888888889,99,,702LED4.2009.2.22.9,,,2009,,-8,9,,2,2009,22,L'ACADIE,2009-02-22 09:00:00,15,-2.6,,2,,,NA,M,22,,,QC,,2009-02-22T14:00:00,-2.8,,702LED4,14,,ND
