x,y,STATION_PRESSURE,TEMP,DEW_POINT_TEMP,UTC_DAY,WINDCHILL_FLAG,WIND_DIRECTION,STATION_NAME,UTC_MONTH,VISIBILITY_FLAG,LOCAL_HOUR,WIND_DIRECTION_FLAG,ID,TEMP_FLAG,WINDCHILL,STATION_PRESSURE_FLAG,VISIBILITY,RELATIVE_HUMIDITY,DEW_POINT_TEMP_FLAG,LOCAL_DATE,RELATIVE_HUMIDITY_FLAG,UTC_YEAR,PRECIP_AMOUNT_FLAG,WIND_SPEED_FLAG,UTC_DATE,WEATHER_ENG_DESC,PROVINCE_CODE,LOCAL_YEAR,PRECIP_AMOUNT,WEATHER_FRE_DESC,CLIMATE_IDENTIFIER,HUMIDEX_FLAG,LOCAL_MONTH,HUMIDEX,WIND_SPEED,LOCAL_DAY
-73.34944444444444,45.29388888888889,,22.9,16.0,17,,25,L'ACADIE,4,M,22,,702LED4.2002.4.16.22,,,M,,65,,2002-04-16 22:00:00,,2002,,,2002-04-17T03:00:00,NA,QC,2002,,ND,702LED4,,4,28,17,16
-73.34944444444444,45.29388888888889,,22.8,16.1,17,,25,L'ACADIE,4,M,23,,702LED4.2002.4.16.23,,,M,,66,,2002-04-16 23:00:00,,2002,,,2002-04-17T04:00:00,NA,QC,2002,,ND,702LED4,,4,27,20,16
-73.34944444444444,45.29388888888889,,22.6,15.9,17,,26,L'ACADIE,4,M,0,,702LED4.2002.4.17.0,,,M,,66,,2002-04-17 00:00:00,,2002,,,2002-04-17T05:00:00,NA,QC,2002,,ND,702LED4,,4,27,19,17
-73.34944444444444,45.29388888888889,,21.3,16.1,17,,26,L'ACADIE,4,M,1,,702LED4.2002.4.17.1,,,M,,72,,2002-04-17 01:00:00,,2002,,,2002-04-17T06:00:00,NA,QC,2002,,ND,702LED4,,4,26,17,17
-73.34944444444444,45.29388888888889,,21.2,15.7,17,,27,L'ACADIE,4,M,2,,702LED4.2002.4.17.2,,,M,,71,,2002-04-17 02:00:00,,2002,,,2002-04-17T07:00:00,NA,QC,2002,,ND,702LED4,,4,26,17,17
-73.34944444444444,45.29388888888889,,20.7,15.5,17,,25,L'ACADIE,4,M,3,,702LED4.2002.4.17.3,,,M,,72,,2002-04-17 03:00:00,,2002,,,2002-04-17T08:00:00,NA,QC,2002,,ND,702LED4,,4,25,17,17
-73.34944444444444,45.29388888888889,,20.3,15.3,17,,26,L'ACADIE,4,M,4,,702LED4.2002.4.17.4,,,M,,73,,2002-04-17 04:00:00,,2002,,,2002-04-17T09:00:00,NA,QC,2002,,ND,702LED4,,4,,11,17
-73.34944444444444,45.29388888888889,,19.4,14.9,17,,35,L'ACADIE,4,M,5,,702LED4.2002.4.17.5,,,M,,75,,2002-04-17 05:00:00,,2002,,,2002-04-17T10:00:00,NA,QC,2002,,ND,702LED4,,4,,6,17
-73.34944444444444,45.29388888888889,,18.1,14.8,17,,0,L'ACADIE,4,M,6,,702LED4.2002.4.17.6,,,M,,81,,2002-04-17 06:00:00,,2002,,,2002-04-17T11:00:00,NA,QC,2002,,ND,702LED4,,4,,0,17
-73.34944444444444,45.29388888888889,,19.9,15.4,17,,33,L'ACADIE,4,M,7,,702LED4.2002.4.17.7,,,M,,75,,2002-04-17 07:00:00,,2002,,,2002-04-17T12:00:00,NA,QC,2002,,ND,702LED4,,4,,6,17
-73.34944444444444,45.29388888888889,,21.4,15.5,17,,30,L'ACADIE,4,M,8,,702LED4.2002.4.17.8,,,M,,69,,2002-04-17 08:00:00,,2002,,,2002-04-17T13:00:00,NA,QC,2002,,ND,702LED4,,4,26,13,17
