x,y,WEATHER_ENG_DESC,LOCAL_HOUR,RELATIVE_HUMIDITY_FLAG,DEW_POINT_TEMP,PRECIP_AMOUNT_FLAG,UTC_DAY,LOCAL_DAY,UTC_MONTH,DEW_POINT_TEMP_FLAG,HUMIDEX,VISIBILITY,WIND_DIRECTION,PRECIP_AMOUNT,WIND_SPEED_FLAG,LOCAL_MONTH,UTC_DATE,WINDCHILL,HUMIDEX_FLAG,STATION_PRESSURE_FLAG,LOCAL_YEAR,WIND_DIRECTION_FLAG,WEATHER_FRE_DESC,LOCAL_DATE,VISIBILITY_FLAG,CLIMATE_IDENTIFIER,ID,STATION_PRESSURE,WIND_SPEED,TEMP_FLAG,UTC_YEAR,PROVINCE_CODE,TEMP,WINDCHILL_FLAG,RELATIVE_HUMIDITY,STATION_NAME
-73.34944444444444,45.29388888888889,NA,1,,11.4,,21,21,6,,,,18,,,6,2011-06-21T06:00:00,,,M,2011,,ND,2011-06-21 01:00:00,,702LED4,702LED4.2011.6.21.1,,4,,2011,QC,15.8,,75,L'ACADIE
-73.34944444444444,45.29388888888889,NA,2,,11.7,,21,21,6,,,,0,,,6,2011-06-21T07:00:00,,,M,2011,,ND,2011-06-21 02:00:00,,702LED4,702LED4.2011.6.21.2,,0,,2011,QC,14.5,,83,L'ACADIE
-73.34944444444444,45.29388888888889,NA,3,,11.1,,21,21,6,,,,15,,,6,2011-06-21T08:00:00,,,M,2011,,ND,2011-06-21 03:00:00,,702LED4,702LED4.2011.6.21.3,,4,,2011,QC,13.2,,87,L'ACADIE
-73.34944444444444,45.29388888888889,NA,4,,11.2,,21,21,6,,,,16,,,6,2011-06-21T09:00:00,,,M,2011,,ND,2011-06-21 04:00:00,,702LED4,702LED4.2011.6.21.4,,6,,2011,QC,13.1,,88,L'ACADIE
-73.34944444444444,45.29388888888889,NA,5,,11.5,,21,21,6,,,,0,,,6,2011-06-21T10:00:00,,,M,2011,,ND,2011-06-21 05:00:00,,702LED4,702LED4.2011.6.21.5,,0,,2011,QC,14.0,,85,L'ACADIE
-73.34944444444444,45.29388888888889,NA,6,,11.8,,21,21,6,,,,19,,,6,2011-06-21T11:00:00,,,M,2011,,ND,2011-06-21 06:00:00,,702LED4,702LED4.2011.6.21.6,,4,,2011,QC,16.2,,75,L'ACADIE
-73.34944444444444,45.29388888888889,NA,7,,13.1,,21,21,6,,,,0,,,6,2011-06-21T12:00:00,,,M,2011,,ND,2011-06-21 07:00:00,,702LED4,702LED4.2011.6.21.7,,0,,2011,QC,18.4,,71,L'ACADIE
-73.34944444444444,45.29388888888889,NA,8,,13.4,,21,21,6,,,,1,,,6,2011-06-21T13:00:00,,,M,2011,,ND,2011-06-21 08:00:00,,702LED4,702LED4.2011.6.21.8,,4,,2011,QC,20.9,,62,L'ACADIE
-73.34944444444444,45.29388888888889,NA,9,,11.7,,21,21,6,,25,,34,,,6,2011-06-21T14:00:00,,,M,2011,,ND,2011-06-21 09:00:00,,702LED4,702LED4.2011.6.21.9,,6,,2011,QC,22.5,,50,L'ACADIE
-73.34944444444444,45.29388888888889,NA,10,,9.9,,21,21,6,,26,,36,,,6,2011-06-21T15:00:00,,,M,2011,,ND,2011-06-21 10:00:00,,702LED4,702LED4.2011.6.21.10,,6,,2011,QC,24.3,,40,L'ACADIE
-73.34944444444444,45.29388888888889,NA,11,,8.2,,21,21,6,,25,,31,,,6,2011-06-21T16:00:00,,,M,2011,,ND,2011-06-21 11:00:00,,702LED4,702LED4.2011.6.21.11,,6,,2011,QC,25.0,,34,L'ACADIE
