x,y,STATION_PRESSURE,TEMP,DEW_POINT_TEMP,UTC_DAY,WINDCHILL_FLAG,WIND_DIRECTION,STATION_NAME,UTC_MONTH,VISIBILITY_FLAG,LOCAL_HOUR,WIND_DIRECTION_FLAG,ID,TEMP_FLAG,WINDCHILL,STATION_PRESSURE_FLAG,VISIBILITY,RELATIVE_HUMIDITY,DEW_POINT_TEMP_FLAG,LOCAL_DATE,RELATIVE_HUMIDITY_FLAG,UTC_YEAR,PRECIP_AMOUNT_FLAG,WIND_SPEED_FLAG,UTC_DATE,WEATHER_ENG_DESC,PROVINCE_CODE,LOCAL_YEAR,PRECIP_AMOUNT,WEATHER_FRE_DESC,CLIMATE_IDENTIFIER,HUMIDEX_FLAG,LOCAL_MONTH,HUMIDEX,WIND_SPEED,LOCAL_DAY
-73.34944444444444,45.29388888888889,,-15.5,-20.4,20,,27,L'ACADIE,1,,19,,702LED4.2024.1.19.19,,-20,,,66,,2024-01-19 19:00:00,,2024,,,2024-01-20T00:00:00,NA,QC,2024,0,ND,702LED4,,1,,6,19
-73.34944444444444,45.29388888888889,,-15.5,-20.1,20,,25,L'ACADIE,1,,20,,702LED4.2024.1.19.20,,-20,,,68,,2024-01-19 20:00:00,,2024,,,2024-01-20T01:00:00,NA,QC,2024,0,ND,702LED4,,1,,6,19
-73.34944444444444,45.29388888888889,,-15.6,-19.8,20,,28,L'ACADIE,1,,21,,702LED4.2024.1.19.21,,-21,,,70,,2024-01-19 21:00:00,,2024,,,2024-01-20T02:00:00,NA,QC,2024,0,ND,702LED4,,1,,7,19
-73.34944444444444,45.29388888888889,,-16.2,-19.9,20,,28,L'ACADIE,1,,22,,702LED4.2024.1.19.22,,-21,,,73,,2024-01-19 22:00:00,,2024,,,2024-01-20T03:00:00,NA,QC,2024,0,ND,702LED4,,1,,7,19
-73.34944444444444,45.29388888888889,,-16.4,-19.7,20,,27,L'ACADIE,1,,23,,702LED4.2024.1.19.23,,-20,,,75,,2024-01-19 23:00:00,,2024,,,2024-01-20T04:00:00,NA,QC,2024,0,ND,702LED4,,1,,5,19
-73.34944444444444,45.29388888888889,,-16.6,-19.8,20,,27,L'ACADIE,1,,0,,702LED4.2024.1.20.0,,-20,,,77,,2024-01-20 00:00:00,,2024,,,2024-01-20T05:00:00,NA,QC,2024,0,ND,702LED4,,1,,4,20
-73.34944444444444,45.29388888888889,,-16.6,-19.9,20,,26,L'ACADIE,1,,1,,702LED4.2024.1.20.1,,-23,,,76,,2024-01-20 01:00:00,,2024,,,2024-01-20T06:00:00,NA,QC,2024,0,ND,702LED4,,1,,9,20
-73.34944444444444,45.29388888888889,,-17.3,-20.2,20,,26,L'ACADIE,1,,2,,702LED4.2024.1.20.2,,-23,,,78,,2024-01-20 02:00:00,,2024,,,2024-01-20T07:00:00,NA,QC,2024,0,ND,702LED4,,1,,7,20
-73.34944444444444,45.29388888888889,,-17.4,-20.2,20,,26,L'ACADIE,1,,3,,702LED4.2024.1.20.3,,-23,,,79,,2024-01-20 03:00:00,,2024,,,2024-01-20T08:00:00,NA,QC,2024,0,ND,702LED4,,1,,8,20
-73.34944444444444,45.29388888888889,,-17.1,-19.6,20,,25,L'ACADIE,1,,4,,702LED4.2024.1.20.4,,-23,,,81,,2024-01-20 04:00:00,,2024,,,2024-01-20T09:00:00,NA,QC,2024,0,ND,702LED4,,1,,8,20
