x,y,STATION_NAME,STATION_PRESSURE_FLAG,WINDCHILL,UTC_DAY,CLIMATE_IDENTIFIER,VISIBILITY,UTC_YEAR,RELATIVE_HUMIDITY_FLAG,WINDCHILL_FLAG,WIND_SPEED,DEW_POINT_TEMP_FLAG,RELATIVE_HUMIDITY,HUMIDEX_FLAG,TEMP,WEATHER_ENG_DESC,DEW_POINT_TEMP,UTC_MONTH,PRECIP_AMOUNT,LOCAL_YEAR,TEMP_FLAG,WIND_DIRECTION_FLAG,LOCAL_DAY,HUMIDEX,WIND_DIRECTION,ID,PRECIP_AMOUNT_FLAG,LOCAL_MONTH,UTC_DATE,WIND_SPEED_FLAG,LOCAL_DATE,WEATHER_FRE_DESC,LOCAL_HOUR,VISIBILITY_FLAG,STATION_PRESSURE,PROVINCE_CODE
-73.34944444444444,45.29388888888889,L'ACADIE,M,,1,702LED4,,2000,,,0,,88,,-8.6,NA,-10.2,1,,2000,,,1,,0,702LED4.2000.1.1.6,,1,2000-01-01T11:00:00,,2000-01-01 06:00:00,ND,6,M,,QC
-73.34944444444444,45.29388888888889,L'ACADIE,M,-9,1,702LED4,,2000,,,6,,90,,-6.4,NA,-7.7,1,,2000,,,1,,17,702LED4.2000.1.1.7,,1,2000-01-01T12:00:00,,2000-01-01 07:00:00,ND,7,M,,QC
-73.34944444444444,45.29388888888889,L'ACADIE,M,-9,1,702LED4,,2000,,,7,,87,,-5.5,NA,-7.3,1,,2000,,,1,,15,702LED4.2000.1.1.8,,1,2000-01-01T13:00:00,,2000-01-01 08:00:00,ND,8,M,,QC
-73.34944444444444,45.29388888888889,L'ACADIE,M,-8,1,702LED4,,2000,,,7,,87,,-4.4,NA,-6.3,1,,2000,,,1,,17,702LED4.2000.1.1.9,,1,2000-01-01T14:00:00,,2000-01-01 09:00:00,ND,9,M,,QC
-73.34944444444444,45.29388888888889,L'ACADIE,M,-6,1,702LED4,,2000,,,15,,86,,-1.3,NA,-3.4,1,,2000,,,1,,19,702LED4.2000.1.1.10,,1,2000-01-01T15:00:00,,2000-01-01 10:00:00,ND,10,M,,QC
-73.34944444444444,45.29388888888889,L'ACADIE,M,-5,1,702LED4,,2000,,,19,,83,,-0.1,NA,-2.6,1,,2000,,,1,,19,702LED4.2000.1.1.11,,1,2000-01-01T16:00:00,,2000-01-01 11:00:00,ND,11,M,,QC
-73.34944444444444,45.29388888888889,L'ACADIE,M,,1,702LED4,,2000,,,24,,80,,0.7,NA,-2.4,1,,2000,,,1,,19,702LED4.2000.1.1.12,,1,2000-01-01T17:00:00,,2000-01-01 12:00:00,ND,12,M,,QC
-73.34944444444444,45.29388888888889,L'ACADIE,M,,1,702LED4,,2000,,,26,,76,,1.3,NA,-2.4,1,,2000,,,1,,18,702LED4.2000.1.1.13,,1,2000-01-01T18:00:00,,2000-01-01 13:00:00,ND,13,M,,QC
-73.34944444444444,45.29388888888889,L'ACADIE,M,,1,702LED4,,2000,,,20,,76,,1.8,NA,-1.9,1,,2000,,,1,,19,702LED4.2000.1.1.14,,1,2000-01-01T19:00:00,,2000-01-01 14:00:00,ND,14,M,,QC
-73.34944444444444,45.29388888888889,L'ACADIE,M,,1,702LED4,,2000,,,17,,76,,2.1,NA,-1.6,1,,2000,,,1,,21,702LED4.2000.1.1.15,,1,2000-01-01T20:00:00,,2000-01-01 15:00:00,ND,15,M,,QC
