x,y,VISIBILITY_FLAG,TEMP,CLIMATE_IDENTIFIER,WIND_SPEED,STATION_PRESSURE_FLAG,LOCAL_HOUR,PROVINCE_CODE,HUMIDEX_FLAG,STATION_PRESSURE,WEATHER_ENG_DESC,LOCAL_MONTH,UTC_DAY,LOCAL_DATE,UTC_YEAR,WIND_DIRECTION_FLAG,LOCAL_YEAR,HUMIDEX,LOCAL_DAY,UTC_MONTH,DEW_POINT_TEMP_FLAG,WINDCHILL,RELATIVE_HUMIDITY_FLAG,RELATIVE_HUMIDITY,WIND_DIRECTION,PRECIP_AMOUNT,ID,PRECIP_AMOUNT_FLAG,VISIBILITY,WINDCHILL_FLAG,WEATHER_FRE_DESC,UTC_DATE,STATION_NAME,DEW_POINT_TEMP,TEMP_FLAG,WIND_SPEED_FLAG
-73.34944444444444,45.29388888888889,M,13.8,702LED4,6,M,5,QC,,,NA,6,8,2003-06-08 05:00:00,2003,,2003,,8,6,,,,95,18,,702LED4.2003.6.8.5,,,,ND,2003-06-08T10:00:00,L'ACADIE,13.0,,
-73.34944444444444,45.29388888888889,M,15.6,702LED4,7,M,6,QC,,,NA,6,8,2003-06-08 06:00:00,2003,,2003,,8,6,,,,91,17,,702LED4.2003.6.8.6,,,,ND,2003-06-08T11:00:00,L'ACADIE,14.1,,
-73.34944444444444,45.29388888888889,M,17.2,702LED4,9,M,7,QC,,,NA,6,8,2003-06-08 07:00:00,2003,,2003,,8,6,,,,84,20,,702LED4.2003.6.8.7,,,,ND,2003-06-08T12:00:00,L'ACADIE,14.5,,
-73.34944444444444,45.29388888888889,M,19.4,702LED4,0,M,8,QC,,,NA,6,8,2003-06-08 08:00:00,2003,,2003,,8,6,,,,79,0,,702LED4.2003.6.8.8,,,,ND,2003-06-08T13:00:00,L'ACADIE,15.7,,
-73.34944444444444,45.29388888888889,M,20.8,702LED4,6,M,9,QC,,,NA,6,8,2003-06-08 09:00:00,2003,,2003,25,8,6,,,,69,15,,702LED4.2003.6.8.9,,,,ND,2003-06-08T14:00:00,L'ACADIE,14.9,,
-73.34944444444444,45.29388888888889,M,22.2,702LED4,6,M,10,QC,,,NA,6,8,2003-06-08 10:00:00,2003,,2003,26,8,6,,,,61,15,,702LED4.2003.6.8.10,,,,ND,2003-06-08T15:00:00,L'ACADIE,14.3,,
-73.34944444444444,45.29388888888889,M,23.1,702LED4,7,M,11,QC,,,NA,6,8,2003-06-08 11:00:00,2003,,2003,25,8,6,,,,48,12,,702LED4.2003.6.8.11,,,,ND,2003-06-08T16:00:00,L'ACADIE,11.5,,
-73.34944444444444,45.29388888888889,M,24.2,702LED4,9,M,12,QC,,,NA,6,8,2003-06-08 12:00:00,2003,,2003,26,8,6,,,,46,16,,702LED4.2003.6.8.12,,,,ND,2003-06-08T17:00:00,L'ACADIE,11.9,,
-73.34944444444444,45.29388888888889,M,24.5,702LED4,13,M,13,QC,,,NA,6,8,2003-06-08 13:00:00,2003,,2003,27,8,6,,,,44,17,,702LED4.2003.6.8.13,,,,ND,2003-06-08T18:00:00,L'ACADIE,11.5,,
-73.34944444444444,45.29388888888889,M,24.9,702LED4,19,M,14,QC,,,NA,6,8,2003-06-08 14:00:00,2003,,2003,27,8,6,,,,44,17,,702LED4.2003.6.8.14,,,,ND,2003-06-08T19:00:00,L'ACADIE,11.8,,
-73.34944444444444,45.29388888888889,M,26.0,702LED4,13,M,15,QC,,,NA,6,8,2003-06-08 15:00:00,2003,,2003,29,8,6,,,,44,17,,702LED4.2003.6.8.15,,,,ND,2003-06-08T20:00:00,L'ACADIE,12.8,,
-73.34944444444444,45.29388888888889,M,25.7,702LED4,17,M,16,QC,,,NA,6,8,2003-06-08 16:00:00,2003,,2003,28,8,6,,,,44,15,,702LED4.2003.6.8.16,,,,ND,2003-06-08T21:00:00,L'ACADIE,12.6,,
-73.34944444444444,45.29388888888889,M,25.4,702LED4,19,M,17,QC,,,NA,6,8,2003-06-08 17:00:00,2003,,2003,28,8,6,,,,46,17,,702LED4.2003.6.8.17,,,,ND,2003-06-08T22:00:00,L'ACADIE,13.0,,
-73.34944444444444,45.29388888888889,M,25.0,702LED4,15,M,18,QC,,,NA,6,8,2003-06-08 18:00:00,2003,,2003,28,8,6,,,,51,18,,702LED4.2003.6.8.18,,,,ND,2003-06-08T23:00:00,L'ACADIE,14.2,,
-73.34944444444444,45.29388888888889,M,23.4,702LED4,13,M,19,QC,,,NA,6,9,2003-06-08 19:00:00,2003,,2003,27,8,6,,,,56,18,,702LED4.2003.6.8.19,,,,ND,2003-06-09T00:00:00,L'ACADIE,14.1,,
-73.34944444444444,45.29388888888889,M,21.6,702LED4,15,M,20,QC,,,NA,6,9,2003-06-08 20:00:00,2003,,2003,25,8,6,,,,63,17,,702LED4.2003.6.8.20,,,,ND,2003-06-09T01:00:00,L'ACADIE,14.3,,
-73.34944444444444,45.29388888888889,M,21.0,702LED4,20,M,21,QC,,,NA,6,9,2003-06-08 21:00:00,2003,,2003,,8,6,,,,64,16,,702LED4.2003.6.8.21,,,,ND,2003-06-09T02:00:00,L'ACADIE,13.9,,
-73.34944444444444,45.29388888888889,M,20.1,702LED4,22,M,22,QC,,,NA,6,9,2003-06-08 22:00:00,2003,,2003,,8,6,,,,69,16,,702LED4.2003.6.8.22,,,,ND,2003-06-09T03:00:00,L'ACADIE,14.2,,
-73.34944444444444,45.29388888888889,M,19.4,702LED4,28,M,23,QC,,,NA,6,9,2003-06-08 23:00:00,2003,,2003,,8,6,,,,71,16,,702LED4.2003.6.8.23,,,,ND,2003-06-09T04:00:00,L'ACADIE,14.0,,
-73.34944444444444,45.29388888888889,M,18.9,702LED4,28,M,0,QC,,,NA,6,9,2003-06-09 00:00:00,2003,,2003,,9,6,,,,71,16,,702LED4.2003.6.9.0,,,,ND,2003-06-09T05:00:00,L'ACADIE,13.5,,
-73.34944444444444,45.29388888888889,M,18.6,702LED4,30,M,1,QC,,,NA,6,9,2003-06-09 01:00:00,2003,,2003,,9,6,,,,70,16,,702LED4.2003.6.9.1,,,,ND,2003-06-09T06:00:00,L'ACADIE,13.0,,
-73.34944444444444,45.29388888888889,M,18.2,702LED4,35,M,2,QC,,,NA,6,9,2003-06-09 02:00:00,2003,,2003,,9,6,,,,70,17,,702LED4.2003.6.9.2,,,,ND,2003-06-09T07:00:00,L'ACADIE,12.7,,
-73.34944444444444,45.29388888888889,M,17.9,702LED4,30,M,3,QC,,,NA,6,9,2003-06-09 03:00:00,2003,,2003,,9,6,,,,70,18,,702LED4.2003.6.9.3,,,,ND,2003-06-09T08:00:00,L'ACADIE,12.4,,
-73.34944444444444,45.29388888888889,M,17.5,702LED4,35,M,4,QC,,,NA,6,9,2003-06-09 04:00:00,2003,,2003,,9,6,,,,76,17,,702LED4.2003.6.9.4,,,,ND,2003-06-09T09:00:00,L'ACADIE,13.2,,
-73.34944444444444,45.29388888888889,M,17.6,702LED4,32,M,5,QC,,,NA,6,9,2003-06-09 05:00:00,2003,,2003,,9,6,,,,73,17,,702LED4.2003.6.9.5,,,,ND,2003-06-09T10:00:00,L'ACADIE,12.7,,
-73.34944444444444,45.29388888888889,M,17.4,702LED4,35,M,6,QC,,,NA,6,9,2003-06-09 06:00:00,2003,,2003,,9,6,,,,76,18,,702LED4.2003.6.9.6,,,,ND,2003-06-09T11:00:00,L'ACADIE,13.1,,
-73.34944444444444,45.29388888888889,M,17.2,702LED4,33,M,7,QC,,,NA,6,9,2003-06-09 07:00:00,2003,,2003,,9,6,,,,78,18,,702LED4.2003.6.9.7,,,,ND,2003-06-09T12:00:00,L'ACADIE,13.3,,
-73.34944444444444,45.29388888888889,M,17.9,702LED4,39,M,8,QC,,,NA,6,9,2003-06-09 08:00:00,2003,,2003,,9,6,,,,77,18,,702LED4.2003.6.9.8,,,,ND,2003-06-09T13:00:00,L'ACADIE,13.8,,
