x,y,DEW_POINT_TEMP,RELATIVE_HUMIDITY_FLAG,UTC_DAY,TEMP,UTC_DATE,LOCAL_HOUR,PRECIP_AMOUNT_FLAG,WIND_DIRECTION_FLAG,PRECIP_AMOUNT,WIND_SPEED_FLAG,LOCAL_DAY,WEATHER_FRE_DESC,STATION_NAME,UTC_MONTH,STATION_PRESSURE_FLAG,HUMIDEX,DEW_POINT_TEMP_FLAG,UTC_YEAR,LOCAL_YEAR,VISIBILITY_FLAG,PROVINCE_CODE,STATION_PRESSURE,HUMIDEX_FLAG,LOCAL_MONTH,CLIMATE_IDENTIFIER,TEMP_FLAG,RELATIVE_HUMIDITY,WINDCHILL,WEATHER_ENG_DESC,WINDCHILL_FLAG,ID,VISIBILITY,LOCAL_DATE,WIND_SPEED,WIND_DIRECTION
-73.34944444444444,45.29388888888889,-27.2,,1,-24.0,1994-02-01T07:00:00,2,,,,,1,ND,L'ACADIE,2,M,,,1994,1994,,QC,,,2,702LED4,,75,-30,NA,,702LED4.1994.2.1.2,,1994-02-01 02:00:00,6,17
-73.34944444444444,45.29388888888889,-27.0,,1,-24.4,1994-02-01T08:00:00,3,,,,,1,ND,L'ACADIE,2,M,,,1994,1994,,QC,,,2,702LED4,,79,-31,NA,,702LED4.1994.2.1.3,,1994-02-01 03:00:00,7,19
-73.34944444444444,45.29388888888889,-26.7,,1,-24.3,1994-02-01T09:00:00,4,,,,,1,ND,L'ACADIE,2,M,,,1994,1994,,QC,,,2,702LED4,,80,-32,NA,,702LED4.1994.2.1.4,,1994-02-01 04:00:00,9,16
-73.34944444444444,45.29388888888889,-27.4,,1,-24.9,1994-02-01T10:00:00,5,,,,,1,ND,L'ACADIE,2,M,,,1994,1994,,QC,,,2,702LED4,,80,-31,NA,,702LED4.1994.2.1.5,,1994-02-01 05:00:00,7,15
-73.34944444444444,45.29388888888889,-28.3,,1,-25.6,1994-02-01T11:00:00,6,,,,,1,ND,L'ACADIE,2,M,,,1994,1994,,QC,,,2,702LED4,,78,-32,NA,,702LED4.1994.2.1.6,,1994-02-01 06:00:00,7,17
-73.34944444444444,45.29388888888889,-26.4,,1,-24.2,1994-02-01T12:00:00,7,,,,,1,ND,L'ACADIE,2,M,,,1994,1994,,QC,,,2,702LED4,,82,-32,NA,,702LED4.1994.2.1.7,,1994-02-01 07:00:00,9,17
-73.34944444444444,45.29388888888889,-25.8,,1,-23.6,1994-02-01T13:00:00,8,,,,,1,ND,L'ACADIE,2,M,,,1994,1994,,QC,,,2,702LED4,,82,-30,NA,,702LED4.1994.2.1.8,,1994-02-01 08:00:00,7,17
-73.34944444444444,45.29388888888889,-25.0,,1,-22.0,1994-02-01T14:00:00,9,,,,,1,ND,L'ACADIE,2,M,,,1994,1994,,QC,,,2,702LED4,,77,-27,NA,,702LED4.1994.2.1.9,,1994-02-01 09:00:00,6,18
-73.34944444444444,45.29388888888889,-22.4,,1,-18.8,1994-02-01T15:00:00,10,,,,,1,ND,L'ACADIE,2,M,,,1994,1994,,QC,,,2,702LED4,,73,,NA,,702LED4.1994.2.1.10,,1994-02-01 10:00:00,0,0
-73.34944444444444,45.29388888888889,-20.9,,1,-16.9,1994-02-01T16:00:00,11,,,,,1,ND,L'ACADIE,2,M,,,1994,1994,,QC,,,2,702LED4,,71,-21,NA,,702LED4.1994.2.1.11,,1994-02-01 11:00:00,6,16
-73.34944444444444,45.29388888888889,-19.9,,1,-15.1,1994-02-01T17:00:00,12,,,,,1,ND,L'ACADIE,2,M,,,1994,1994,,QC,,,2,702LED4,,67,-22,NA,,702LED4.1994.2.1.12,,1994-02-01 12:00:00,13,21
-73.34944444444444,45.29388888888889,-19.1,,1,-13.9,1994-02-01T18:00:00,13,,,,,1,ND,L'ACADIE,2,M,,,1994,1994,,QC,,,2,702LED4,,65,-19,NA,,702LED4.1994.2.1.13,,1994-02-01 13:00:00,7,18
-73.34944444444444,45.29388888888889,-18.9,,1,-13.1,1994-02-01T19:00:00,14,,,,,1,ND,L'ACADIE,2,M,,,1994,1994,,QC,,,2,702LED4,,62,-19,NA,,702LED4.1994.2.1.14,,1994-02-01 14:00:00,9,17
-73.34944444444444,45.29388888888889,-18.2,,1,-12.4,1994-02-01T20:00:00,15,,,,,1,ND,L'ACADIE,2,M,,,1994,1994,,QC,,,2,702LED4,,62,-18,NA,,702LED4.1994.2.1.15,,1994-02-01 15:00:00,11,15
-73.34944444444444,45.29388888888889,-18.1,,1,-12.6,1994-02-01T21:00:00,16,,,,,1,ND,L'ACADIE,2,M,,,1994,1994,,QC,,,2,702LED4,,63,-19,NA,,702LED4.1994.2.1.16,,1994-02-01 16:00:00,13,15
-73.34944444444444,45.29388888888889,-18.6,,1,-14.4,1994-02-01T22:00:00,17,,,,,1,ND,L'ACADIE,2,M,,,1994,1994,,QC,,,2,702LED4,,70,-19,NA,,702LED4.1994.2.1.17,,1994-02-01 17:00:00,7,16
-73.34944444444444,45.29388888888889,-19.6,,1,-15.4,1994-02-01T23:00:00,18,,,,,1,ND,L'ACADIE,2,M,,,1994,1994,,QC,,,2,702LED4,,70,-22,NA,,702LED4.1994.2.1.18,,1994-02-01 18:00:00,11,20
-73.34944444444444,45.29388888888889,-20.0,,2,-16.5,1994-02-02T00:00:00,19,,,,,1,ND,L'ACADIE,2,M,,,1994,1994,,QC,,,2,702LED4,,74,-23,NA,,702LED4.1994.2.1.19,,1994-02-01 19:00:00,9,19
-73.34944444444444,45.29388888888889,-20.2,,2,-16.7,1994-02-02T01:00:00,20,,,,,1,ND,L'ACADIE,2,M,,,1994,1994,,QC,,,2,702LED4,,74,-22,NA,,702LED4.1994.2.1.20,,1994-02-01 20:00:00,7,22
-73.34944444444444,45.29388888888889,-21.9,,2,-18.6,1994-02-02T02:00:00,21,,,,,1,ND,L'ACADIE,2,M,,,1994,1994,,QC,,,2,702LED4,,75,-26,NA,,702LED4.1994.2.1.21,,1994-02-01 21:00:00,11,20
-73.34944444444444,45.29388888888889,-22.1,,2,-18.4,1994-02-02T03:00:00,22,,,,,1,ND,L'ACADIE,2,M,,,1994,1994,,QC,,,2,702LED4,,73,-26,NA,,702LED4.1994.2.1.22,,1994-02-01 22:00:00,13,19
